r,sram_mib,tensor_cores,total_time_ms,effective_tflops,router_time_ms,up_gate_x512_time_ms,down_x512_time_ms
1e-08,9.576976299285888e-06,4625.0,3657.6983160470586,1.3597546049514084,18.950441160784315,2425.6564685803924,1213.0914063058824
1.039255682936713e-08,9.952927044383071e-06,4625.0,3657.6983160470586,1.3597546049514084,18.950441160784315,2425.6564685803924,1213.0914063058824
1.080052374516254e-08,1.034363599272961e-05,4625.0,3657.6983160470586,1.3597546049514084,18.950441160784315,2425.6564685803924,1213.0914063058824
1.122450568085306e-08,1.0749682487672955e-05,4625.0,3657.6983160470586,1.3597546049514084,18.950441160784315,2425.6564685803924,1213.0914063058824
1.1665131316981961e-08,1.1171668615079383e-05,4625.0,3657.6983160470586,1.3597546049514084,18.950441160784315,2425.6564685803924,1213.0914063058824
1.2123054013376527e-08,1.1610220096106968e-05,4625.0,3657.6983160470586,1.3597546049514084,18.950441160784315,2425.6564685803924,1213.0914063058824
1.2598952777950284e-08,1.2065987215025196e-05,4625.0,3657.6983160470586,1.3597546049514084,18.950441160784315,2425.6564685803924,1213.0914063058824
1.3093533273536095e-08,1.2539645783456634e-05,4625.0,3657.6983160470586,1.3597546049514084,18.950441160784315,2425.6564685803924,1213.0914063058824
1.3607528864243332e-08,1.30318981424707e-05,4625.0,3657.6983160470586,1.3597546049514084,18.950441160784315,2425.6564685803924,1213.0914063058824
1.414170170289024e-08,1.354347420401507e-05,4625.0,3522.954244015686,1.4117617727270872,18.950441160784315,2425.6564685803924,1078.34733427451
1.4696843861124474e-08,1.407513253322944e-05,4625.0,3522.954244015686,1.4117617727270872,18.950441160784315,2425.6564685803924,1078.34733427451
1.5273778503907124e-08,1.4627661473246078e-05,4625.0,3522.954244015686,1.4117617727270872,18.950441160784315,2425.6564685803924,1078.34733427451
1.5873361110102086e-08,1.5201880314145402e-05,4625.0,3522.954244015686,1.4117617727270872,18.950441160784315,2425.6564685803924,1078.34733427451
1.6496480740980205e-08,1.5798640507799353e-05,4625.0,2438.6855393882356,2.0394479109494625,12.634312784313725,1617.1920363921568,808.8591902117647
1.714406135851972e-08,1.6418826930404636e-05,4625.0,2438.6855393882356,2.0394479109494625,12.634312784313725,1617.1920363921568,808.8591902117647
1.781706319545729e-08,1.7063359194577337e-05,4625.0,2438.6855393882356,2.0394479109494625,12.634312784313725,1617.1920363921568,808.8591902117647
1.8516484179121542e-08,1.773319301295491e-05,4625.0,2438.6855393882356,2.0394479109494625,12.634312784313725,1617.1920363921568,808.8591902117647
1.92433614111598e-08,1.8429321615327004e-05,4625.0,2438.6855393882356,2.0394479109494625,12.634312784313725,1617.1920363921568,808.8591902117647
